Device details,,,,,CO2e data,,,,,,,,,,,,,,,,,,,,,,,,,Lifespan data,,,Weight data,,,Notes
ORDS Product Category,Family (as defined by CO2 source),order,model,model (grouped),Primary / CO2 Source (e.g. Manufacturer),Primary / CO2 source - external url,Primary / CO2 source - drive url,filename,Study name,Primary / CO2 Source date,CO2 Footprint (total) kg,,Total Embodied CO2 kg,Total Embodied CO2 % (as % of total footprint),CO2 Footprint (production) kg,CO2 Footprint (production) %,CO2 Footprint (transport) kg,CO2 Footprint (transport) %,CO2 Footprint (use) kg,CO2 Footprint (use) %,CO2 Footprint (EoL) kg,CO2 Footprint (EoL) %,DQI - Temporal representativeness,DQI - Technical representativeness,DQI - Reliability,DQI score - Temporal representativeness,DQI score - Technical representativeness,DQI score - Reliability,DQI score - TOTAL,Lifespan source - drive url,Lifespan source date,Lifespan (years),Weight source - drive url,Weight source date,Product Weight (kg),Notes
Aircon/Dehumidifier,Air Conditioner,51,LT103CER,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT103CER.pdf,https://drive.google.com/file/d/1DKFwu2HvHd2AwmlNUy8vlimNu1Y_x_4g/view?usp=drivesdk,LT103CER.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,52,LT103HNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT103HNR.pdf,https://drive.google.com/file/d/1hFfN9QqUSCWL_Ga9Dmkm8Yb3cUc7Gn6T/view?usp=drivesdk,LT103HNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,53,LT121CNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT121CNR.pdf,https://drive.google.com/file/d/1SB5XoCk6hb0HEdkq5JosB_lswshIoFAN/view?usp=drivesdk,LT121CNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,54,LT1233HNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT1233HNR.pdf,https://drive.google.com/file/d/10egYM296DEZsZJ7a6FzoAyOnsGAAJSla/view?usp=drivesdk,LT1233HNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,55,LT123CNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT123CNR.pdf,https://drive.google.com/file/d/1S8idkhkVqJFVOoRF5g6oA7RPhX58rYRR/view?usp=drivesdk,LT123CNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,56,LT123HNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT123HNR.pdf,https://drive.google.com/file/d/12hJgYUNxRxBNvHFZLj5T5uqvoTEVUB_Z/view?usp=drivesdk,LT123HNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,57,LT1433CNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT1433CNR.pdf,https://drive.google.com/file/d/1H8sritATMBJwULRb7CZmWFdu7bZYyLci/view?usp=drivesdk,LT1433CNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,58,LT143CNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT143CNR.pdf,https://drive.google.com/file/d/13E5i8AyoMtOaWXheEWfswRZgesySSTPq/view?usp=drivesdk,LT143CNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,59,LW1011ER,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LW1011ER.pdf,https://drive.google.com/file/d/1RUln7_aJUksPyoJ7syVk87aEGFlHVwAD/view?usp=drivesdk,LW1011ER.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,60,LW1012CR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LW1012CR.pdf,https://drive.google.com/file/d/1Fxclj7xqGSziR1-ldxrbN_p8C4NrZ5dy/view?usp=drivesdk,LW1012CR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
